id,text,label,label_name,language,source,group
118,I'm managing the case without any trouble.,0,LOW,english,templated,tpl_english_0_6
427,Har court visit ke baad thak jaata hoon.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_21
99,Kahin safe nahi lagta aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_7
41,Kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
174,"I can't face the hearing, I feel like collapsing.",2,HIGH,english,handwritten,hw_english_2_13
8,"Notice aane ke baad se, tension rehti hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
110,I finished my work early today and rested.,0,LOW,english,handwritten,hw_english_0_46
385,"Ab aur nahi ho raha mujhse, main toot gaya hoon.",2,HIGH,hinglish,handwritten,hw_hinglish_2_1
444,I feel supported by the counsellor and the lawyer.,0,LOW,english,handwritten,hw_english_0_48
24,"Har din pehle se bura hai, main bikhar raha hoon.",2,HIGH,hinglish,handwritten,hw_hinglish_2_26
68,"Compensation form bhar diya, ab wait hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_13
72,"Ghar pe safe feel karta hoon, routine normal hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_24
25,I've been more irritable than usual with my family.,1,MODERATE,english,handwritten,hw_english_1_14
87,Aaj tak neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
460,Lawyer ka phone aata hai toh nervous ho jaata hoon.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_4
180,I don't know how much longer I can bear this.,2,HIGH,english,handwritten,hw_english_2_49
368,I worry about my family's reaction to the hearing.,1,MODERATE,english,handwritten,hw_english_1_38
467,Bilkul neend nahi aati.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
439,I'm so scared I've stopped sending my children to school.,2,HIGH,english,handwritten,hw_english_2_9
275,"Delay ki wajah se, neend thodi kam ho gayi hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_2
43,I keep thinking about the hearing and it's hard to relax.,1,MODERATE,english,handwritten,hw_english_1_0
193,I can't sleep at all and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_0
290,"Before the hearing, I've been sleeping a little less, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_2
17,"Sab theek hai, koi problem nahi.",0,LOW,hinglish,handwritten,hw_hinglish_0_0
97,I'm not sure I'm ready for the cross-examination.,1,MODERATE,english,handwritten,hw_english_1_42
158,Raat ko kabhi kabhi jaagta rehta hoon ki kya hoga.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_12
363,Date postpone hone ke baad se mood low hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_17
394,"Before the hearing, I feel nervous, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_1
231,Case ki wajah se kaam mein dhyan bhatak jaata hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_22
57,Delay se thoda irritation hai par din pe asar nahi.,0,LOW,hinglish,handwritten,hw_hinglish_0_27
323,Paperwork ka sochke sar dard hone lagta hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_25
62,Kuen tak jaane mein bhi ab bahut darr lagta hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_18
449,Is hafte case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
116,"Lawyer ne sab samjha diya, ab clear hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_2
242,"Likhte likhte haath kaanp rahe hain, itna darr hai.",2,HIGH,hinglish,handwritten,hw_hinglish_2_12
178,I've been vomiting from anxiety before every court date.,2,HIGH,english,handwritten,hw_english_2_47
400,"I wish this would all just end, I can't take it.",2,HIGH,english,handwritten,hw_english_2_10
12,"Since the last call, work and home are both okay.",0,LOW,english,templated,tpl_english_0_2
146,Main case ko lekar tension mein nahi hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_5
45,"I'm fine, thank you for checking.",0,LOW,english,handwritten,hw_english_0_39
3,"Hearing se pehle, chinta ho rahi hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
103,I've been feeling nervous and it's affecting my appetite a little.,1,MODERATE,english,handwritten,hw_english_1_50
345,I feel like giving up and I can't go to work.,2,HIGH,english,templated,tpl_english_2_9
337,Update from my side: I'm managing the case without any trouble.,0,LOW,english,templated,tpl_english_0_6
420,Lagta hai doob raha hoon aur koi bachane nahi aayega.,2,HIGH,hinglish,handwritten,hw_hinglish_2_29
454,"Hearing se pehle, nervous lag raha hai, par routine theek hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_1
150,"There's nothing to report, things are quiet.",0,LOW,english,handwritten,hw_english_0_29
113,I feel anxious but I know I have support.,1,MODERATE,english,handwritten,hw_english_1_41
447,Roz raat incident ke bure sapne aate hain.,2,HIGH,hinglish,handwritten,hw_hinglish_2_17
137,"Delay ki wajah se, nervous lag raha hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_1
278,Bilkul neend nahi aati aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_0
263,Update from my side: nothing has changed.,0,LOW,english,templated,tpl_english_0_4
165,"Since the notice came, I'm a bit anxious.",1,MODERATE,english,templated,tpl_english_1_6
153,I'm okay. Just checking in as scheduled.,0,LOW,english,handwritten,hw_english_0_26
419,"With the date coming up, I've been worried, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_0
54,I'm having panic attacks and I can't take care of my children.,2,HIGH,english,templated,tpl_english_2_4
245,I've been sleeping a bit less since the notice came.,1,MODERATE,english,handwritten,hw_english_1_2
60,"I'm handling it, but I feel drained after each court visit.",1,MODERATE,english,handwritten,hw_english_1_23
69,Roz khet jaa raha hoon pehle jaisa.,0,LOW,hinglish,handwritten,hw_hinglish_0_17
392,I don't feel safe anywhere and I can't face anyone.,2,HIGH,english,templated,tpl_english_2_7
430,The uncertainty is getting on my nerves.,1,MODERATE,english,handwritten,hw_english_1_44
194,"I'm having a breakdown, I need help right now.",2,HIGH,english,handwritten,hw_english_2_51
176,"This month, I've been sleeping a little less, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_2
207,I keep replaying the incident in my head at night.,1,MODERATE,english,handwritten,hw_english_1_49
124,Case ko lekar abhi koi pressure nahi hai.,0,LOW,hinglish,handwritten,hw_hinglish_0_31
302,"Date paas aa rahi hai toh, focus karna mushkil hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_3
266,Work and home are both okay.,0,LOW,english,templated,tpl_english_0_2
46,Pichli baat ke baad se kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
65,"Please help me, I don't know what to do anymore.",2,HIGH,english,handwritten,hw_english_2_54
431,Sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
94,"Hearing se pehle, mood low rehta hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
76,Thoda stress hai par routine chal raha hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_30
66,"This week, my routine is the same as usual.",0,LOW,english,templated,tpl_english_0_7
428,Is hafte neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
13,I can't stop shaking and nothing helps.,2,HIGH,english,templated,tpl_english_2_8
147,I worry that I'll forget details when I testify.,1,MODERATE,english,handwritten,hw_english_1_20
440,Sab hopeless lagta hai aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_3
15,The paperwork is tedious but I'm handling it.,0,LOW,english,handwritten,hw_english_0_30
220,"Hearing kaise jayegi, iski chinta hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_5
18,I can't stop shaking and I don't know what to do.,2,HIGH,english,templated,tpl_english_2_8
171,I'm coping but I'd like to talk to the counsellor soon.,1,MODERATE,english,handwritten,hw_english_1_51
443,"Kaam normal chal raha hai, ghar pe bhi sab theek.",0,LOW,hinglish,handwritten,hw_hinglish_0_3
406,My lawyer explained the process and it makes sense to me.,0,LOW,english,handwritten,hw_english_0_1
456,I can't stop shaking and I can't face anyone.,2,HIGH,english,templated,tpl_english_2_8
372,I'm having panic attacks and I can't go to work.,2,HIGH,english,templated,tpl_english_2_4
455,"Since the last call, I'm doing fine.",0,LOW,english,templated,tpl_english_0_1
432,Lagta hai toot raha hoon aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_6
470,Sab hopeless lagta hai aur bachon ka dhyan nahi rakh pa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_3
369,Sab hopeless lagta hai aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_3
271,I feel there is no point in anything anymore.,2,HIGH,english,handwritten,hw_english_2_43
254,"Before the hearing, I'm a bit anxious.",1,MODERATE,english,templated,tpl_english_1_6
288,Routine pehle jaisa hi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_7
203,"Since the notice came, I've been worried, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_0
224,Update from my side: my routine is the same as usual.,0,LOW,english,templated,tpl_english_0_7
283,I feel like I'm breaking down and I feel I can't go on.,2,HIGH,english,templated,tpl_english_2_6
186,Bachon ki padhai pe dhyan de raha hoon is hafte.,0,LOW,hinglish,handwritten,hw_hinglish_0_28
131,I feel nervous whenever the lawyer calls.,1,MODERATE,english,handwritten,hw_english_1_4
40,I just wanted to confirm the date of the next hearing.,0,LOW,english,handwritten,hw_english_0_18
374,Update from my side: things are normal.,0,LOW,english,templated,tpl_english_0_0
173,"Aaj ka din accha tha, shaam ko doston se mila.",0,LOW,hinglish,handwritten,hw_hinglish_0_12
67,Is hafte sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
273,I'm in constant dread from morning until night.,2,HIGH,english,handwritten,hw_english_2_39
119,"Last court visit ke baad, chinta ho rahi hai, par routine theek hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
478,"This month, I'm a bit anxious, though I can get through the day.",1,MODERATE,english,templated,tpl_english_1_6
250,"Because of the delay, I feel uneasy.",1,MODERATE,english,templated,tpl_english_1_7
216,"Nothing new has happened this week, everything is normal.",0,LOW,english,handwritten,hw_english_0_6
265,Bas update de raha hoon: sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
223,My heart races every time I hear a vehicle outside.,2,HIGH,english,handwritten,hw_english_2_4
373,Case slow chal raha hai par mujhe koi jaldi nahi.,0,LOW,hinglish,handwritten,hw_hinglish_0_9
448,I have a copy of the FIR and all my receipts in one folder.,0,LOW,english,handwritten,hw_english_0_21
129,Panic attack jaise hote hain.,2,HIGH,hinglish,templated,tpl_hinglish_2_4
44,I can't remember the last time I felt okay.,2,HIGH,english,handwritten,hw_english_2_40
459,Aaj tak kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
296,Darr itna hai ki saans theek se nahi aati.,2,HIGH,hinglish,handwritten,hw_hinglish_2_23
211,I'm sleeping and eating well.,0,LOW,english,templated,tpl_english_0_3
402,"Bilkul thak gaya hoon, ab kuch sambhal nahi raha.",2,HIGH,hinglish,handwritten,hw_hinglish_2_24
378,I can't sleep at all and I can't face anyone.,2,HIGH,english,templated,tpl_english_2_0
64,"I felt shaky after the last hearing, but I'm slowly settling.",1,MODERATE,english,handwritten,hw_english_1_47
219,Ghar walon pe zyada chidh raha hoon aajkal.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_13
14,"This week, I'm managing the case without any trouble.",0,LOW,english,templated,tpl_english_0_6
208,"This month, it's been hard to focus, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_3
335,"Since the notice came, I feel nervous, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_1
201,Pichli baat ke baad se kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
177,I haven't slept in three nights because of the fear.,2,HIGH,english,handwritten,hw_english_2_15
379,"Is mahine, focus karna mushkil hai, par routine theek hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_3
261,I feel worthless and I don't want to see anyone.,2,HIGH,english,handwritten,hw_english_2_22
132,Bas update de raha hoon: main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
215,"Notice aane ke baad se, chinta ho rahi hai, par kaam pe jaa raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
