id,text,label,label_name,language,source,group
1,"Bhai mere saath court aayega, toh comfortable hoon.",0,LOW,hinglish,handwritten,hw_hinglish_0_18
2,I'm having panic attacks.,2,HIGH,english,templated,tpl_english_2_4
3,"Hearing se pehle, chinta ho rahi hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_0
4,Just checking in: I'm doing fine.,0,LOW,english,templated,tpl_english_0_1
5,"Date paas aa rahi hai toh, tension rehti hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
6,"Gaon mein log kya bol rahe hain, uski chinta hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_27
7,Sochta hoon ki mere bina ghar walon ko behtar hoga.,2,HIGH,hinglish,handwritten,hw_hinglish_2_33
8,"Notice aane ke baad se, tension rehti hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
9,Paperwork boring hai par manage ho raha hai.,0,LOW,hinglish,handwritten,hw_hinglish_0_22
10,I feel completely hopeless and I can't take care of my children.,2,HIGH,english,templated,tpl_english_2_3
11,I'm a bit busy with the paperwork but it's not a problem.,0,LOW,english,handwritten,hw_english_0_9
12,"Since the last call, work and home are both okay.",0,LOW,english,templated,tpl_english_0_2
13,I can't stop shaking and nothing helps.,2,HIGH,english,templated,tpl_english_2_8
14,"This week, I'm managing the case without any trouble.",0,LOW,english,templated,tpl_english_0_6
15,The paperwork is tedious but I'm handling it.,0,LOW,english,handwritten,hw_english_0_30
16,"The case is on my mind a lot, but I'm still going to work.",1,MODERATE,english,handwritten,hw_english_1_3
17,"Sab theek hai, koi problem nahi.",0,LOW,hinglish,handwritten,hw_hinglish_0_0
18,I can't stop shaking and I don't know what to do.,2,HIGH,english,templated,tpl_english_2_8
19,I feel safe at home and my routine is normal.,0,LOW,english,handwritten,hw_english_0_33
20,"The fear is unbearable, I can't breathe properly.",2,HIGH,english,handwritten,hw_english_2_23
21,"I can't sleep at all, I lie awake every night shaking.",2,HIGH,english,handwritten,hw_english_2_0
22,Kaanpna band nahi hota aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_8
23,Case ke baare mein zyada sochta nahi ab.,0,LOW,hinglish,handwritten,hw_hinglish_0_15
24,"Har din pehle se bura hai, main bikhar raha hoon.",2,HIGH,hinglish,handwritten,hw_hinglish_2_26
25,I've been more irritable than usual with my family.,1,MODERATE,english,handwritten,hw_english_1_14
26,Na kha pa raha hoon na so pa raha hoon.,2,HIGH,hinglish,templated,tpl_hinglish_2_5
27,"Before the hearing, I feel nervous, but my routine is mostly okay.",1,MODERATE,english,templated,tpl_english_1_1
28,Aaj tak case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
29,Update from my side: I'm doing fine.,0,LOW,english,templated,tpl_english_0_1
30,"The hearing is on the 14th, and I have my documents ready.",0,LOW,english,handwritten,hw_english_0_0
31,"Is mahine, tension rehti hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_4
32,My family has been supportive and I feel steady.,0,LOW,english,handwritten,hw_english_0_11
33,"Hearing se pehle, focus karna mushkil hai, par manage ho raha hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_3
34,I can't sleep at all and I can't go to work.,2,HIGH,english,templated,tpl_english_2_0
35,"Last court visit ke baad, nervous lag raha hai, par sambhal raha hoon.",1,MODERATE,hinglish,templated,tpl_hinglish_1_1
36,I'm tired of waiting and it's making me anxious.,1,MODERATE,english,handwritten,hw_english_1_27
37,"This week, nothing has changed.",0,LOW,english,templated,tpl_english_0_4
38,Case ka bojh umeed se zyada lag raha hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_28
39,Rona band nahi hota aur kuch kaam nahi aa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_2
40,I just wanted to confirm the date of the next hearing.,0,LOW,english,handwritten,hw_english_0_18
41,Kaam aur ghar dono theek hain.,0,LOW,hinglish,templated,tpl_hinglish_0_2
42,I feel completely hopeless about everything.,2,HIGH,english,handwritten,hw_english_2_5
43,I keep thinking about the hearing and it's hard to relax.,1,MODERATE,english,handwritten,hw_english_1_0
44,I can't remember the last time I felt okay.,2,HIGH,english,handwritten,hw_english_2_40
45,"I'm fine, thank you for checking.",0,LOW,english,handwritten,hw_english_0_39
46,Pichli baat ke baad se kuch badla nahi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_4
47,Har waqt darr lagta hai aur kaam pe nahi jaa pa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_1
48,Statement dene ko lekar confident hoon.,0,LOW,hinglish,handwritten,hw_hinglish_0_21
49,Court mein unko dekhne ka sochke uneasy lagta hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_10
50,"Pichle mahine ghabrahat thi, ab kaafi behtar hoon.",0,LOW,hinglish,handwritten,hw_hinglish_0_8
51,"Date paas aa rahi hai toh, thodi ghabrahat hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_6
52,"Since the notice came, I'm a bit anxious, but I'm coping.",1,MODERATE,english,templated,tpl_english_1_6
53,I can't eat or sleep and I can't go to work.,2,HIGH,english,templated,tpl_english_2_5
54,I'm having panic attacks and I can't take care of my children.,2,HIGH,english,templated,tpl_english_2_4
55,Bas update de raha hoon: case bina dikkat ke manage ho raha hai.,0,LOW,hinglish,templated,tpl_hinglish_0_6
56,"Na taakat hai, na bhookh, na jeene ki ichha.",2,HIGH,hinglish,handwritten,hw_hinglish_2_31
57,Delay se thoda irritation hai par din pe asar nahi.,0,LOW,hinglish,handwritten,hw_hinglish_0_27
58,My appetite has been a bit off lately.,1,MODERATE,english,handwritten,hw_english_1_11
59,Sab chhod dene ka man karta hai aur kisi ka saamna nahi kar sakta.,2,HIGH,hinglish,templated,tpl_hinglish_2_9
60,"I'm handling it, but I feel drained after each court visit.",1,MODERATE,english,handwritten,hw_english_1_23
61,Kahin safe nahi lagta.,2,HIGH,hinglish,templated,tpl_hinglish_2_7
62,Kuen tak jaane mein bhi ab bahut darr lagta hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_18
63,"Notice mil gaya, aage kya karna hai pata hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_23
64,"I felt shaky after the last hearing, but I'm slowly settling.",1,MODERATE,english,handwritten,hw_english_1_47
65,"Please help me, I don't know what to do anymore.",2,HIGH,english,handwritten,hw_english_2_54
66,"This week, my routine is the same as usual.",0,LOW,english,templated,tpl_english_0_7
67,Is hafte sab theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_0
68,"Compensation form bhar diya, ab wait hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_13
69,Roz khet jaa raha hoon pehle jaisa.,0,LOW,hinglish,handwritten,hw_hinglish_0_17
70,The pressure is crushing me and I feel I might break.,2,HIGH,english,handwritten,hw_english_2_38
71,Is hafte routine pehle jaisa hi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_7
72,"Ghar pe safe feel karta hoon, routine normal hai.",0,LOW,hinglish,handwritten,hw_hinglish_0_24
73,I can't stop shaking and my chest hurts from the anxiety.,2,HIGH,english,handwritten,hw_english_2_28
74,"Case dimaag mein rehta hai, par kaam pe jaa raha hoon.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_3
75,"Delay se frustration ho rahi hai, ab pareshan karne laga hai.",1,MODERATE,hinglish,handwritten,hw_hinglish_1_9
76,Thoda stress hai par routine chal raha hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_30
77,Andar se bilkul khaali aur sunn ho gaya hoon.,2,HIGH,hinglish,handwritten,hw_hinglish_2_14
78,Kaanpna band nahi hota aur lagta hai ab aur nahi.,2,HIGH,hinglish,templated,tpl_hinglish_2_8
79,Pichli baat ke baad se routine pehle jaisa hi hai.,0,LOW,hinglish,templated,tpl_hinglish_0_7
80,"Main theek hoon, bas check-in kar raha tha.",0,LOW,hinglish,handwritten,hw_hinglish_0_20
81,I feel like giving up and nothing helps.,2,HIGH,english,templated,tpl_english_2_9
82,I attended the hearing and it went as planned.,0,LOW,english,handwritten,hw_english_0_15
83,Thane jaane se pehle tension ho jaati hai.,1,MODERATE,hinglish,handwritten,hw_hinglish_1_8
84,Na kha pa raha hoon na so pa raha hoon aur kaam pe nahi jaa pa raha.,2,HIGH,hinglish,templated,tpl_hinglish_2_5
85,Everything is under control on my side.,0,LOW,english,handwritten,hw_english_0_19
86,Pichli baat ke baad se main theek hoon.,0,LOW,hinglish,templated,tpl_hinglish_0_1
87,Aaj tak neend aur khana dono theek hai.,0,LOW,hinglish,templated,tpl_hinglish_0_3
88,"Hearing 14 tarikh ko hai, papers ready hain.",0,LOW,hinglish,handwritten,hw_hinglish_0_1
89,"After the last court visit, I feel tense, but I'm still going to work.",1,MODERATE,english,templated,tpl_english_1_4
90,I'm afraid something terrible is going to happen to my family.,2,HIGH,english,handwritten,hw_english_2_31
91,I feel completely hopeless and I can't go to work.,2,HIGH,english,templated,tpl_english_2_3
92,I'm scared to sleep because of the nightmares.,2,HIGH,english,handwritten,hw_english_2_42
93,Ghar se bahar nikalne mein bahut darr lagta hai.,2,HIGH,hinglish,handwritten,hw_hinglish_2_2
94,"Hearing se pehle, mood low rehta hai, phir bhi din nikal jaata hai.",1,MODERATE,hinglish,templated,tpl_hinglish_1_5
95,"Honestly, I don't think about the case much these days.",0,LOW,english,handwritten,hw_english_0_25
