text,label,category,language,source
Do not go to the police if you know what is good for you.,1,targeted_threat,english,synthetic_v6
I am worried that someone may become angry with me.,0,fear_without_threat,english,synthetic_v6
He said my family would suffer if I continued the case.,1,targeted_threat,english,synthetic_v6
I keep imagining that something bad could happen.,0,fear_without_threat,english,synthetic_v6
Police ko bataya toh tumhe problem hogi.,1,targeted_threat,hinglish,synthetic_v6
You should consider whether this case is worth continuing.,0,ambiguous_non_threat,english,synthetic_v6
Someone advised me to speak with a lawyer first.,0,ambiguous_non_threat,english,synthetic_v6
Someone told me it might be better to stay out of the matter.,0,non_threat_advice,english,synthetic_v6
Unhone bola chup raho warna problem ho sakti hai.,1,hinglish_indirect,hinglish,synthetic_v6
They told me to withdraw the complaint unless I wanted trouble.,1,indirect_threat,english,synthetic_v6
Nobody told me to withdraw the complaint.,0,case_negation,english,synthetic_v6
Case continue kiya toh tumhari job ka problem ho jayega.,1,targeted_threat,hinglish,synthetic_v6
They made it clear that I should keep silent.,1,targeted_threat,english,synthetic_v6
They advised me not to get involved in the matter.,0,non_threat_advice,english,synthetic_v6
They told me that my family would not be safe if I continued.,1,indirect_threat,english,synthetic_v6
Case ko lekar mujhe bahut darr lag raha hai.,0,hinglish_fear,hinglish,synthetic_v6
I have continued the case without receiving any threats.,0,case_negation,english,synthetic_v6
Gawahi di toh family ko problem ho jayegi.,1,hinglish_indirect,hinglish,synthetic_v6
Gawahi di toh tumhare liye accha nahi hoga.,1,hinglish_threat,hinglish,synthetic_v6
Unhone bola complaint wapas le lo warna dekh lena.,1,hinglish_indirect,hinglish,synthetic_v6
No one has contacted me about the case in a threatening way.,0,case_negation,english,synthetic_v6
No one has asked me to drop the case.,0,case_negation,english,synthetic_v6
I feel unsafe even though nobody has contacted me.,0,fear_without_threat,english,synthetic_v6
I was not threatened because of my complaint.,0,case_negation,english,synthetic_v6
There is no actual threat against me.,0,negation,english,synthetic_v6
Nobody has threatened my family.,0,negation,english,synthetic_v6
Agar case continue kiya toh tumhe regret hoga.,1,hinglish_threat,hinglish,synthetic_v6
Mere family ko kisi ne threaten nahi kiya.,0,hinglish_negation,hinglish,synthetic_v6
Case continue kiya toh family ko problem hogi.,1,hinglish_threat,hinglish,synthetic_v6
He told me to stay quiet or there would be consequences.,1,indirect_threat,english,synthetic_v6
The newspaper reported threats against other witnesses.,0,other_person_threat,english,synthetic_v6
They said I should stop talking about the case if I knew what was good for me.,1,indirect_threat,english,synthetic_v6
Case ko yahin khatam karo warna mushkil hogi.,1,targeted_threat,hinglish,synthetic_v6
"Unhone bola zyada bolna mat, warna situation kharab ho sakti hai.",1,hinglish_indirect,hinglish,synthetic_v6
He suggested that I reconsider my decision unless I wanted problems.,1,indirect_threat,english,synthetic_v6
Stay quiet or there will be consequences.,1,targeted_threat,english,synthetic_v6
Nobody made any threat against me.,0,negation,english,synthetic_v6
Mujhe nahi pata aage kya hoga aur isliye tension hai.,0,hinglish_fear,hinglish,synthetic_v6
They said I should forget the complaint if I wanted peace.,1,targeted_threat,english,synthetic_v6
Mere against statement diya toh accha nahi hoga.,1,targeted_threat,hinglish,synthetic_v6
Mujhe safety ko lekar concern hai.,0,hinglish_fear,hinglish,synthetic_v6
Agar statement diya toh tumhe regret hoga.,1,hinglish_indirect,hinglish,synthetic_v6
I worry that there could be retaliation.,0,fear_without_threat,english,synthetic_v6
Gawahi di toh tumhare family ko dekh lenge.,1,targeted_threat,hinglish,synthetic_v6
Withdraw the complaint or you will regret it.,1,targeted_threat,english,synthetic_v6
Kisi ne complaint wapas lene ko nahi bola.,0,hinglish_negation,hinglish,synthetic_v6
He said I should keep quiet if I wanted things to remain peaceful.,1,indirect_threat,english,synthetic_v6
Someone told me another family received threats.,0,other_person_threat,english,synthetic_v6
He said I would regret speaking to the authorities.,1,targeted_threat,english,synthetic_v6
No one has pressured me to change my statement.,0,case_negation,english,synthetic_v6
Mujhe case ke wajah se koi dhamki nahi mili.,0,hinglish_negation,hinglish,synthetic_v6
Unhone kaha case chhodo warna problem hogi.,1,targeted_threat,hinglish,synthetic_v6
Mujhe koi threaten nahi kar raha hai.,0,hinglish_negation,hinglish,synthetic_v6
