text,label,category,language,source
"Last court visit ke baad, neend thodi kam ho gayi hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
Roz raat incident ke bure sapne aate hain.,0,sadness_without_threat,hinglish,distress_v3_negatives
Statement dene ko lekar nervous hoon.,0,legal_stress_without_threat,hinglish,synthetic
Na kha pa raha hoon na so pa raha hoon aur samajh nahi aata kya karun.,0,sadness_without_threat,hinglish,distress_v3_negatives
I feel lost because everything is so complicated.,0,sadness_without_threat,english,synthetic
Police ke paas gaya toh mere liye achha nahi hoga.,1,direct_threat,hinglish,synthetic
Kuen tak jaane mein bhi ab bahut darr lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
"Mujhe darr hai ki woh mujhe hurt kar sakte hain, lekin kisi ne dhamki nahi di.",0,hard_negative,hinglish,synthetic
Nobody told me to stop cooperating with the investigation.,0,negation,english,synthetic_v6
Rona band nahi hota aur kuch kaam nahi aa raha.,0,sadness_without_threat,hinglish,distress_v3_negatives
There have been threats against other people involved in similar cases.,0,third_party_statement,english,synthetic_v6
They asked me to forget what I had seen.,1,witness_intimidation,english,synthetic
They told me that cooperating with police would create serious problems.,1,direct_threat,english,synthetic_v6
Nobody threatened me about continuing the case.,0,negation,english,synthetic_v6
"Hearing se pehle, mood low rehta hai, par manage ho raha hai.",0,sadness_without_threat,hinglish,distress_v3_negatives
I am struggling to keep up with my normal routine.,0,sadness_without_threat,english,synthetic
They told me to withdraw the complaint.,1,case_withdrawal_coercion,english,synthetic
Court procedure ko lekar stress hai.,0,legal_stress_without_threat,hinglish,synthetic
Someone told me that I should keep my mouth shut.,1,forced_silence,english,synthetic
Keep your mouth shut about the incident.,1,direct_threat,english,synthetic_v6
Har waqt darr lagta hai.,0,sadness_without_threat,hinglish,distress_v3_negatives
I have been having a difficult time emotionally.,0,sadness_without_threat,english,synthetic
I am nervous about giving my statement.,0,legal_stress_without_threat,english,synthetic
Case ki wajah se bahut nervous feel kar raha hoon.,0,fear_without_threat,hinglish,synthetic
My body hurts from the stress and I can't function.,0,sadness_without_threat,english,distress_v3_negatives
I feel nervous whenever I think about the hearing.,0,fear_without_threat,english,synthetic
The possibility of retaliation is making me extremely anxious.,0,hard_negative,english,synthetic
He warned me that I would regret continuing the case.,1,direct_threat,english,synthetic
He warned me that my employment would be affected.,1,financial_coercion,english,synthetic
Mere area mein threats ke baare mein suna hai isliye main scared hoon.,0,fear_without_threat,hinglish,synthetic_v6
I feel a knot in my stomach when I think about the hearing.,0,sadness_without_threat,english,distress_v3_negatives
He told me to withdraw everything I had reported.,1,case_withdrawal_coercion,english,synthetic
Darr hai ki parivaar ke saath kuch bahut bura ho jayega.,0,sadness_without_threat,hinglish,distress_v3_negatives
